v_ee_x, v_ee_y, v_ee_z
0.0285936, 0.0579034, -0.147107
0.0289238, 0.0550795, -0.147912
0.0278014, 0.0535652, -0.149597
0.0281708, 0.0516791, -0.149577
0.030021, 0.0489591, -0.148812
0.0292255, 0.0487003, -0.148851
0.0289981, 0.0476054, -0.148693
0.0309252, 0.0440742, -0.148198
0.0306566, 0.0440238, -0.146853
0.0305703, 0.043919, -0.145362
0.031231, 0.0402807, -0.14628
0.0295267, 0.0396543, -0.147802
0.0292042, 0.0380124, -0.149106
0.0319518, 0.0346195, -0.147466
0.0310146, 0.0344159, -0.147444
0.030686, 0.0331078, -0.147739
0.0318155, 0.0290596, -0.149413
0.030561, 0.0288019, -0.149408
0.0290201, 0.0293123, -0.149789
0.030495, 0.0259814, -0.149436
0.0313283, 0.0224684, -0.149438
0.0304083, 0.0233684, -0.148817
0.0305585, 0.0223396, -0.147993
0.0318371, 0.0183588, -0.149555
0.0312469, 0.0164048, -0.150051
0.029843, 0.0182872, -0.149854
0.0301776, 0.0172988, -0.147542
0.0308716, 0.0133183, -0.149621
0.0297342, 0.0125784, -0.150444
0.0289793, 0.0119166, -0.151757
0.0291776, 0.00843079, -0.152823
0.0298175, 0.00600399, -0.152145
0.0292415, 0.00620939, -0.151593
0.0273852, 0.00795293, -0.150196
0.0289051, 0.00451532, -0.150884
0.0314692, 0.00113975, -0.148638
0.0303216, 0.000943752, -0.148906
0.0269134, 0.00123539, -0.15141
0.0279065, -0.000831741, -0.150389
0.0308148, -0.00641376, -0.149883
0.0304777, -0.00761017, -0.149786
0.0270257, -0.00550774, -0.150977
0.0250712, -0.00637497, -0.153193
0.0283463, -0.0118295, -0.153595
0.0307837, -0.0172119, -0.152858
0.0298632, -0.0170515, -0.152117
0.0275804, -0.0156517, -0.151324
0.0278686, -0.0181183, -0.151582
0.0310231, -0.0233584, -0.150874
0.0326136, -0.0266135, -0.150414
0.030761, -0.0262837, -0.150861
0.0287117, -0.0250721, -0.151553
0.0289818, -0.0288522, -0.152535
0.0307343, -0.0320628, -0.151731
0.0311244, -0.0328962, -0.149336
0.0301973, -0.0338648, -0.150465
0.028546, -0.0362734, -0.153803
0.0292271, -0.0409589, -0.155792
0.0300769, -0.0419013, -0.15355
0.0293262, -0.0422324, -0.152327
0.0279923, -0.0431667, -0.152629
0.0288927, -0.0454086, -0.152619
0.0299003, -0.0488898, -0.153034
0.0308202, -0.0516918, -0.152116
0.0314834, -0.0537637, -0.151249
0.031364, -0.0551955, -0.150709
0.0310111, -0.0567202, -0.150641
0.0307004, -0.0587747, -0.151677
0.0304755, -0.0616257, -0.151819
0.0322066, -0.0645362, -0.151423
0.0329215, -0.0679945, -0.150539
0.0323972, -0.0697456, -0.151782
0.03178, -0.0717222, -0.152229
0.0308777, -0.0731273, -0.153767
0.0310262, -0.0754501, -0.152812
0.0310555, -0.0774901, -0.152915
0.0302594, -0.0792496, -0.152601
0.0303605, -0.0814906, -0.1527
0.0306185, -0.0829814, -0.151367
0.0308958, -0.0849256, -0.151234
0.0299565, -0.0856972, -0.151828
0.0295599, -0.0877248, -0.152087
0.029803, -0.088719, -0.151033
0.0284445, -0.0901608, -0.151434
0.0279865, -0.0915038, -0.150628
0.0272, -0.0928066, -0.151623
0.0265526, -0.0944587, -0.151734
0.0263392, -0.095264, -0.151423
0.0267044, -0.0960339, -0.149383
