T1, T2, T3, T4, T5, T6, T7
16.0256, 13.7699, 3.9751, 1.18408, -0.336603, 0.174444, 0.0403731
15.9415, 13.6319, 3.91261, 1.49804, -0.345917, 0.154893, 0.0406296
15.7681, 13.3635, 3.8011, 1.88838, -0.358692, 0.131342, 0.0409109
15.6384, 13.0311, 3.71609, 2.30372, -0.370897, 0.105857, 0.0411756
15.5241, 12.7611, 3.6377, 2.70605, -0.382507, 0.0791026, 0.0414434
15.4118, 12.4507, 3.56176, 3.10654, -0.393905, 0.0534978, 0.0417032
15.2792, 12.2582, 3.47036, 3.45049, -0.404796, 0.0317265, 0.0419679
15.1173, 12.0534, 3.36334, 3.81267, -0.416524, 0.00925397, 0.0422412
15.0006, 11.7455, 3.28216, 4.16647, -0.42737, -0.0109429, 0.0424868
15.0454, 11.5779, 3.2931, 4.43289, -0.432496, -0.027195, 0.0426761
14.9799, 11.3332, 3.23878, 4.7274, -0.440966, -0.0444828, 0.0429075
14.7843, 11.1273, 3.10731, 5.03553, -0.452607, -0.0638781, 0.0431915
14.6355, 10.9453, 3.00354, 5.33062, -0.462801, -0.0820711, 0.0434538
14.6662, 10.8607, 3.00414, 5.54128, -0.466898, -0.0948531, 0.0436431
14.6803, 10.6848, 2.99567, 5.77325, -0.471975, -0.107767, 0.0438337
14.6222, 10.5306, 2.94178, 6.00981, -0.479122, -0.122015, 0.044056
14.424, 10.5214, 2.80158, 6.15828, -0.48757, -0.130883, 0.0443368
14.3567, 10.5057, 2.73943, 6.33714, -0.493586, -0.14262, 0.0445626
14.3768, 10.3544, 2.73172, 6.54934, -0.498312, -0.154774, 0.0447437
14.3418, 10.3711, 2.68699, 6.6814, -0.502606, -0.163041, 0.0449544
14.1166, 10.303, 2.53227, 6.81707, -0.511158, -0.170202, 0.0452377
14.0434, 10.2679, 2.46604, 6.94909, -0.516195, -0.178307, 0.0454574
14.028, 10.2676, 2.43141, 7.04234, -0.519334, -0.183204, 0.0456513
13.9663, 10.2943, 2.36986, 7.11664, -0.52289, -0.187202, 0.0458627
13.8629, 10.341, 2.28265, 7.17191, -0.527022, -0.190057, 0.0460909
13.6916, 10.4218, 2.155, 7.2239, -0.532555, -0.193509, 0.0463468
13.5713, 10.4423, 2.05811, 7.30012, -0.537594, -0.197701, 0.0465753
13.5692, 10.5929, 2.02675, 7.33321, -0.539121, -0.201104, 0.0467588
13.6797, 10.5801, 2.06421, 7.38407, -0.538556, -0.203842, 0.046888
13.54, 10.7149, 1.95117, 7.38405, -0.542527, -0.204576, 0.0471257
13.3641, 10.6569, 1.82359, 7.45292, -0.548504, -0.207951, 0.0473653
13.3025, 10.6637, 1.75931, 7.48635, -0.551428, -0.209836, 0.0475589
13.3504, 10.7676, 1.75574, 7.46115, -0.550723, -0.208397, 0.047709
13.3744, 10.7765, 1.74181, 7.4887, -0.551472, -0.210494, 0.0478668
13.3655, 10.8758, 1.70535, 7.47072, -0.552147, -0.209534, 0.0480391
13.2807, 10.8573, 1.62782, 7.48483, -0.555106, -0.210033, 0.0482366
13.2614, 10.9494, 1.58695, 7.50723, -0.556709, -0.212702, 0.048408
13.3143, 11.0246, 1.58516, 7.4677, -0.555719, -0.210244, 0.048552
13.3249, 11.2764, 1.55411, 7.39053, -0.554892, -0.207409, 0.0487204
13.1861, 11.3127, 1.44487, 7.38976, -0.558618, -0.207388, 0.0489341
13.0232, 11.4893, 1.31738, 7.35171, -0.562196, -0.206557, 0.0491596
12.995, 11.4863, 1.27487, 7.36121, -0.563468, -0.207248, 0.0493197
13.0139, 11.4509, 1.26032, 7.38335, -0.563995, -0.208828, 0.049459
12.8878, 11.4667, 1.15918, 7.40532, -0.567998, -0.210757, 0.0496576
12.8793, 11.5447, 1.12334, 7.36135, -0.568037, -0.208512, 0.0498086
12.8096, 11.6213, 1.05502, 7.33768, -0.569459, -0.207833, 0.0499849
12.6923, 11.7504, 0.954164, 7.26902, -0.571511, -0.204126, 0.0501776
12.7804, 11.7473, 0.979963, 7.28823, -0.570284, -0.206466, 0.0502808
12.7865, 11.7, 0.958829, 7.30977, -0.571037, -0.208109, 0.0504177
12.5653, 11.7874, 0.800812, 7.29398, -0.576425, -0.208136, 0.0506485
12.4703, 11.7704, 0.720946, 7.28839, -0.578835, -0.207939, 0.050815
12.5415, 11.8476, 0.735144, 7.25867, -0.576852, -0.207332, 0.0509215
12.5208, 11.9489, 0.692158, 7.20142, -0.576842, -0.204728, 0.0510677
12.4105, 12.045, 0.598522, 7.17401, -0.579468, -0.204302, 0.0512455
12.4244, 11.9793, 0.584057, 7.18923, -0.579729, -0.205663, 0.0513655
12.3787, 12.057, 0.530311, 7.13735, -0.580012, -0.202933, 0.0515145
12.274, 12.1435, 0.44228, 7.07098, -0.5813, -0.199649, 0.051684
12.2779, 12.0798, 0.423402, 7.11639, -0.582362, -0.203404, 0.0518039
12.3407, 12.0132, 0.437326, 7.13825, -0.581718, -0.205192, 0.0518984
12.2286, 11.9655, 0.349272, 7.14914, -0.58501, -0.206049, 0.0520583
12.0808, 12.0504, 0.237839, 7.09017, -0.587385, -0.203001, 0.0522383
12.0867, 12.1887, 0.211158, 6.99014, -0.585595, -0.197643, 0.0523606
12.1465, 12.2092, 0.223042, 6.97723, -0.583912, -0.198061, 0.0524588
12.0849, 12.2144, 0.165739, 6.9792, -0.585421, -0.199253, 0.0525996
