q1, q2, q3, q4, q5, q6, q7
0.252757, 0.628422, 0.127576, -1.46703, 0.000166724, 0.643626, 8.49082e-05
0.254837, 0.62967, 0.128582, -1.46757, 0.0001673, 0.643712, 8.48483e-05
0.256912, 0.63093, 0.129579, -1.46803, 0.0001673, 0.643791, 8.50281e-05
0.258999, 0.632228, 0.130588, -1.4684, 0.0001673, 0.643859, 8.48483e-05
0.261073, 0.633543, 0.131575, -1.4687, 0.000166916, 0.643928, 8.49682e-05
0.263134, 0.634879, 0.132544, -1.46892, 0.000166437, 0.643971, 8.50281e-05
0.265195, 0.636235, 0.133499, -1.46906, 0.000167108, 0.644005, 8.48483e-05
0.267254, 0.637609, 0.134447, -1.46911, 0.000167204, 0.64403, 8.49082e-05
0.269316, 0.638996, 0.135396, -1.46909, 0.000167012, 0.644056, 8.49082e-05
0.27137, 0.640403, 0.136335, -1.46901, 0.000166437, 0.64406, 8.47884e-05
0.273409, 0.641808, 0.137251, -1.46887, 0.000165862, 0.644069, 8.50281e-05
0.275429, 0.643244, 0.138133, -1.46866, 0.000165862, 0.644072, 8.50281e-05
0.277458, 0.644687, 0.13903, -1.46836, 0.000166053, 0.644084, 8.48483e-05
0.27949, 0.646164, 0.139923, -1.46801, 0.000165862, 0.644086, 8.49082e-05
0.281507, 0.647656, 0.140801, -1.46758, 0.000165382, 0.644092, 8.50281e-05
0.28351, 0.649157, 0.141651, -1.46708, 0.000166533, 0.644092, 8.47284e-05
0.285504, 0.650678, 0.142484, -1.46653, 0.000165958, 0.644105, 8.50281e-05
0.287492, 0.652207, 0.143303, -1.46591, 0.000166724, 0.644103, 8.47884e-05
0.289479, 0.653765, 0.14412, -1.46522, 0.000166245, 0.644112, 8.48483e-05
0.291456, 0.655316, 0.144916, -1.46451, 0.000166629, 0.644115, 8.52078e-05
0.293417, 0.656888, 0.145693, -1.46372, 0.000166341, 0.644117, 8.49682e-05
0.295371, 0.658449, 0.14646, -1.46287, 0.000165958, 0.644125, 8.47884e-05
0.297334, 0.660036, 0.147228, -1.46198, 0.000165095, 0.644126, 8.50281e-05
0.299297, 0.661618, 0.147996, -1.46105, 0.00016567, 0.644131, 8.47884e-05
0.30125, 0.663225, 0.148734, -1.46007, 0.000165862, 0.644132, 8.48483e-05
0.303193, 0.664848, 0.149449, -1.45906, 0.000165382, 0.644135, 8.52078e-05
0.305137, 0.666479, 0.150173, -1.45802, 0.000165382, 0.644136, 8.49682e-05
0.307069, 0.66812, 0.150874, -1.45692, 0.000166149, 0.644139, 8.47884e-05
0.309003, 0.669768, 0.151561, -1.45579, 0.000165478, 0.64414, 8.50281e-05
0.310933, 0.671425, 0.152255, -1.4546, 0.000166149, 0.644141, 8.48483e-05
0.312845, 0.67309, 0.1529, -1.4534, 0.000166724, 0.644145, 8.49682e-05
0.314752, 0.674773, 0.153535, -1.45218, 0.00016567, 0.644148, 8.50281e-05
0.316666, 0.676457, 0.154199, -1.45093, 0.000164232, 0.64415, 8.48483e-05
0.318574, 0.67816, 0.154837, -1.44964, 0.000164519, 0.644155, 8.49082e-05
0.320469, 0.67986, 0.155434, -1.44832, 0.000165574, 0.644157, 8.50281e-05
0.322356, 0.681567, 0.156033, -1.44697, 0.000165862, 0.644162, 8.48483e-05
0.32424, 0.683276, 0.156636, -1.4456, 0.00016567, 0.644164, 8.50281e-05
0.326114, 0.685006, 0.157206, -1.44421, 0.000165191, 0.644173, 8.49082e-05
0.327987, 0.686738, 0.157766, -1.44278, 0.000165382, 0.644171, 8.47284e-05
0.329859, 0.688479, 0.158324, -1.44131, 0.000165095, 0.644183, 8.50281e-05
0.331717, 0.690227, 0.158854, -1.43987, 0.000164328, 0.644188, 8.47884e-05
0.333562, 0.691987, 0.159358, -1.4384, 0.000163848, 0.644189, 8.49082e-05
0.335407, 0.69376, 0.159875, -1.43692, 0.000164232, 0.644191, 8.50281e-05
0.337257, 0.695533, 0.160388, -1.43539, 0.000165382, 0.644193, 8.47284e-05
0.339092, 0.697309, 0.160876, -1.43382, 0.000166053, 0.644195, 8.49082e-05
0.340918, 0.699087, 0.161329, -1.43227, 0.000165574, 0.644197, 8.49082e-05
0.342742, 0.70087, 0.161781, -1.43071, 0.000165382, 0.644198, 8.47284e-05
0.344571, 0.702653, 0.162235, -1.42913, 0.000164519, 0.644199, 8.50281e-05
0.346385, 0.704452, 0.162667, -1.42753, 0.000164328, 0.644202, 8.49682e-05
0.348194, 0.706245, 0.16308, -1.42592, 0.000164711, 0.644203, 8.49682e-05
0.349999, 0.708051, 0.163487, -1.42429, 0.000165191, 0.64421, 8.50281e-05
0.351797, 0.70985, 0.163883, -1.42265, 0.000165286, 0.64421, 8.48483e-05
0.353585, 0.711654, 0.164265, -1.421, 0.000163944, 0.644211, 8.49682e-05
0.35537, 0.713464, 0.164626, -1.41934, 0.000163657, 0.644214, 8.50281e-05
0.357159, 0.715284, 0.164983, -1.41772, 0.000164903, 0.644215, 8.48483e-05
0.358941, 0.71711, 0.165331, -1.41605, 0.000165095, 0.644215, 8.49682e-05
0.360714, 0.718919, 0.165655, -1.41435, 0.000164807, 0.644217, 8.50281e-05
0.362482, 0.72074, 0.165964, -1.41265, 0.000165095, 0.644216, 8.48483e-05
0.364249, 0.722562, 0.166266, -1.41098, 0.000164807, 0.64422, 8.50281e-05
0.366012, 0.724402, 0.166552, -1.40931, 0.000164615, 0.644221, 8.49082e-05
0.367776, 0.726236, 0.166832, -1.40761, 0.000164807, 0.644219, 8.47284e-05
0.369531, 0.728077, 0.167112, -1.40589, 0.000165862, 0.644224, 8.50281e-05
0.371268, 0.729917, 0.167371, -1.40419, 0.000165191, 0.644225, 8.47884e-05
0.372999, 0.731764, 0.167606, -1.40246, 0.000163273, 0.644226, 8.47884e-05
0.374735, 0.733615, 0.167833, -1.40073, 0.000162794, 0.644227, 8.50281e-05
0.376478, 0.735474, 0.168053, -1.39902, 0.000164519, 0.644229, 8.48483e-05
0.378208, 0.737338, 0.168252, -1.39733, 0.000164807, 0.644228, 8.47884e-05
0.379925, 0.739187, 0.168426, -1.39557, 0.000164615, 0.644225, 8.50281e-05
0.381635, 0.741026, 0.168594, -1.39379, 0.000164615, 0.64423, 8.48483e-05
0.383348, 0.742887, 0.168766, -1.39204, 0.000164615, 0.64423, 8.49682e-05
0.38505, 0.744754, 0.168918, -1.39034, 0.00016404, 0.644234, 8.50281e-05
0.386749, 0.746622, 0.169058, -1.38858, 0.000164615, 0.644226, 8.47284e-05
0.388441, 0.748489, 0.169192, -1.38682, 0.000164328, 0.644241, 8.5088e-05
0.390123, 0.750349, 0.169309, -1.38508, 0.000164903, 0.644237, 8.49082e-05
0.391794, 0.752215, 0.169401, -1.38331, 0.000164711, 0.644237, 8.48483e-05
0.393466, 0.754074, 0.16948, -1.38154, 0.000164999, 0.644242, 8.49082e-05
0.395141, 0.755947, 0.169556, -1.37979, 0.000164136, 0.644242, 8.49082e-05
0.39681, 0.757821, 0.169614, -1.37807, 0.000164328, 0.644241, 8.47284e-05
0.398461, 0.759685, 0.169649, -1.3763, 0.000164136, 0.644241, 8.50281e-05
0.40011, 0.761537, 0.169664, -1.37452, 0.000164232, 0.644244, 8.49082e-05
0.401763, 0.76341, 0.169678, -1.37278, 0.000163752, 0.644243, 8.47284e-05
0.403415, 0.765289, 0.169683, -1.37105, 0.000163657, 0.644244, 8.50281e-05
0.405046, 0.767172, 0.169681, -1.36931, 0.000164328, 0.644243, 8.47884e-05
0.406674, 0.769053, 0.169681, -1.36757, 0.000164807, 0.644247, 8.48483e-05
0.408296, 0.770934, 0.169681, -1.36583, 0.000164424, 0.644243, 8.50281e-05
0.409903, 0.772818, 0.169678, -1.36407, 0.000164136, 0.644247, 8.49682e-05
0.411494, 0.774698, 0.169676, -1.36231, 0.000163944, 0.644247, 8.48483e-05
0.413077, 0.776581, 0.169678, -1.36057, 0.000164232, 0.644248, 8.50281e-05
0.41466, 0.778469, 0.169676, -1.35886, 0.00016404, 0.644247, 8.47884e-05
0.416237, 0.78035, 0.169677, -1.35712, 0.000164136, 0.644246, 8.49082e-05
0.417801, 0.782226, 0.169675, -1.35534, 0.000164232, 0.64425, 8.49082e-05
0.419359, 0.784104, 0.169672, -1.3536, 0.000164807, 0.644251, 8.47284e-05
0.420904, 0.785991, 0.169673, -1.35187, 0.000164232, 0.644251, 8.49082e-05
0.422442, 0.787884, 0.169671, -1.35016, 0.000163177, 0.644252, 8.52078e-05
0.423968, 0.789766, 0.169667, -1.34844, 0.00016404, 0.64425, 8.48483e-05
0.42549, 0.791651, 0.169667, -1.3467, 0.000164999, 0.644251, 8.49682e-05
0.427004, 0.793525, 0.169666, -1.34498, 0.000164519, 0.644253, 8.49082e-05
0.428502, 0.795406, 0.169663, -1.34324, 0.000163848, 0.644252, 8.48483e-05
0.429991, 0.797274, 0.169658, -1.34152, 0.000163944, 0.644253, 8.50281e-05
0.431466, 0.799149, 0.169657, -1.33981, 0.000163657, 0.644257, 8.47884e-05
0.432933, 0.801024, 0.169657, -1.33812, 0.000163657, 0.644253, 8.48483e-05
0.434404, 0.802899, 0.169655, -1.3364, 0.000163944, 0.644258, 8.50281e-05
0.435862, 0.804767, 0.169651, -1.33469, 0.000165382, 0.644256, 8.49682e-05
0.4373, 0.806647, 0.16965, -1.33299, 0.000165286, 0.644263, 8.48483e-05
0.438735, 0.808526, 0.169641, -1.33133, 0.000162985, 0.644266, 8.50281e-05
0.440156, 0.810411, 0.169637, -1.32965, 0.000161835, 0.644262, 8.48483e-05
0.44157, 0.812297, 0.169633, -1.32797, 0.000162027, 0.644269, 8.49082e-05
0.44297, 0.814173, 0.169624, -1.3263, 0.000163944, 0.644266, 8.50281e-05
0.444344, 0.816044, 0.169618, -1.32461, 0.000163944, 0.644267, 8.48483e-05
0.44572, 0.817903, 0.169616, -1.32293, 0.000163944, 0.644269, 8.50281e-05
0.447096, 0.819768, 0.169611, -1.32126, 0.000164328, 0.644268, 8.47884e-05
0.44845, 0.821646, 0.169599, -1.31963, 0.000163944, 0.64427, 8.49082e-05
0.449794, 0.82352, 0.169589, -1.31799, 0.000162602, 0.644269, 8.50281e-05
0.451119, 0.825377, 0.169584, -1.31629, 0.000162314, 0.644272, 8.47284e-05
0.452426, 0.827243, 0.16958, -1.31463, 0.000163081, 0.644274, 8.50281e-05
0.453738, 0.82911, 0.169568, -1.31302, 0.000164136, 0.644277, 8.49082e-05
0.455038, 0.830979, 0.169557, -1.3114, 0.000165191, 0.644278, 8.48483e-05
0.456327, 0.83284, 0.169547, -1.30977, 0.00016404, 0.644278, 8.50281e-05
0.457597, 0.834695, 0.169533, -1.30813, 0.000163081, 0.644278, 8.49682e-05
0.458841, 0.836542, 0.16952, -1.30652, 0.000162027, 0.64428, 8.48483e-05
0.460088, 0.838385, 0.169509, -1.30488, 0.000162794, 0.644278, 8.50281e-05
0.461314, 0.840221, 0.169497, -1.30324, 0.00016289, 0.64428, 8.49082e-05
0.462538, 0.842069, 0.169477, -1.30165, 0.000163848, 0.644283, 8.48483e-05
0.463734, 0.843913, 0.169463, -1.30009, 0.000163848, 0.644283, 8.50281e-05
0.464932, 0.845757, 0.169456, -1.29849, 0.000164232, 0.644288, 8.48483e-05
0.466117, 0.847593, 0.169441, -1.29688, 0.000163369, 0.64429, 8.48483e-05
0.467284, 0.849433, 0.169419, -1.29532, 0.000161835, 0.64429, 8.50281e-05
0.46843, 0.851283, 0.169397, -1.29376, 0.00016241, 0.644293, 8.47884e-05
0.469562, 0.853116, 0.169379, -1.29223, 0.00016289, 0.644293, 8.49682e-05
0.470683, 0.854955, 0.16936, -1.29066, 0.000163369, 0.644294, 8.50281e-05
0.471789, 0.856772, 0.169341, -1.28912, 0.000163657, 0.644299, 8.48483e-05
0.472896, 0.858592, 0.169322, -1.28756, 0.000163657, 0.6443, 8.49682e-05
0.473987, 0.860408, 0.169303, -1.28602, 0.000163465, 0.6443, 8.50281e-05
0.475064, 0.862226, 0.169279, -1.28449, 0.00016289, 0.644305, 8.48483e-05
0.476117, 0.864037, 0.169254, -1.28296, 0.00016289, 0.644303, 8.49682e-05
0.477161, 0.865855, 0.169233, -1.28145, 0.000163177, 0.644307, 8.50281e-05
0.478185, 0.867669, 0.169208, -1.27998, 0.000163848, 0.644308, 8.48483e-05
0.479198, 0.869479, 0.169186, -1.27847, 0.000163944, 0.644306, 8.47884e-05
0.4802, 0.871277, 0.169165, -1.27694, 0.00016241, 0.644314, 8.50281e-05
0.481179, 0.873076, 0.169138, -1.27546, 0.000163081, 0.644313, 8.49682e-05
0.482148, 0.874873, 0.169111, -1.27399, 0.000162985, 0.644314, 8.49682e-05
0.483092, 0.876657, 0.169082, -1.27253, 0.000163561, 0.644316, 8.50281e-05
0.48405, 0.878438, 0.169062, -1.27105, 0.000163657, 0.644314, 8.48483e-05
0.484974, 0.880211, 0.169029, -1.2696, 0.000163177, 0.644319, 8.49082e-05
0.485898, 0.881987, 0.168995, -1.26816, 0.000163369, 0.64432, 8.49082e-05
