dq1, dq2, dq3, dq4, dq5, dq6, dq7
0.443154, 0.102265, 0.241951, -0.353806, -4.934e-05, 0.0735028, -2.87632e-05
0.442386, 0.114162, 0.240716, -0.340114, 5.28754e-05, 0.0663668, 1.3945e-05
0.441365, 0.126248, 0.23856, -0.3277, 0.000119533, 0.0618431, 6.17954e-06
0.439911, 0.136802, 0.237011, -0.31616, -6.44952e-05, 0.0624012, -3.93134e-06
0.43876, 0.147739, 0.234769, -0.304072, -0.00010332, 0.0615407, 4.9276e-06
0.437369, 0.15685, 0.233422, -0.29082, -7.78191e-05, 0.0579627, 8.86548e-06
0.436605, 0.165298, 0.231764, -0.279576, -6.65186e-05, 0.052333, -9.42297e-06
0.434979, 0.175702, 0.230042, -0.265857, 3.45913e-05, 0.0462345, 1.58457e-05
0.43221, 0.184217, 0.225147, -0.249341, 7.93969e-05, 0.0435721, -1.29995e-05
0.430215, 0.193596, 0.223059, -0.23388, -1.82129e-05, 0.0408173, 9.09151e-07
0.429632, 0.201649, 0.223234, -0.220855, -8.07083e-06, 0.0401772, 4.02879e-07
0.428632, 0.208882, 0.222131, -0.208303, -3.56106e-05, 0.0374844, -1.98428e-05
0.426361, 0.21509, 0.217017, -0.192357, -9.05202e-05, 0.0341489, 2.45798e-05
0.424306, 0.222453, 0.212349, -0.176915, -8.07875e-06, 0.0296143, -2.45935e-06
0.422395, 0.229112, 0.210353, -0.162905, -2.49231e-05, 0.0276515, 5.59204e-06
0.422075, 0.234599, 0.21079, -0.145418, -3.72801e-07, 0.0256339, 9.14777e-06
0.420412, 0.238886, 0.208621, -0.13173, 1.05064e-05, 0.0240458, -9.29788e-06
0.418027, 0.244836, 0.204517, -0.118737, 6.8724e-05, 0.0202922, -1.079e-05
0.416349, 0.248815, 0.201651, -0.103636, 3.04542e-05, 0.0178147, 1.52399e-05
0.416927, 0.254755, 0.201748, -0.0870542, 1.34954e-05, 0.0154422, -1.3268e-05
0.415735, 0.259416, 0.199323, -0.0722985, -3.67254e-05, 0.0145443, 7.47207e-06
0.413738, 0.263778, 0.196279, -0.05635, -6.9671e-05, 0.0111967, 9.98088e-06
0.412827, 0.267812, 0.193262, -0.0402132, 4.38659e-05, 0.00872557, -1.55984e-05
0.412263, 0.271736, 0.191237, -0.0237528, 3.01296e-05, 0.00663615, -2.42518e-07
0.41236, 0.274943, 0.190434, -0.00849031, -8.01099e-06, 0.00589713, -1.07469e-07
0.411562, 0.278533, 0.188996, 0.00498001, -6.76182e-05, 0.00304701, -1.33871e-05
0.40946, 0.279877, 0.185804, 0.0179097, -9.40324e-05, 0.00239133, 2.07587e-05
0.406373, 0.284009, 0.180571, 0.0321749, -4.16692e-05, 0.00135999, 9.19897e-06
0.406039, 0.286528, 0.179928, 0.0472654, 2.89736e-06, 0.00187731, -1.59449e-05
0.406225, 0.291455, 0.179136, 0.0603591, -2.00786e-05, 0.00107883, -3.96062e-07
0.404739, 0.29536, 0.177196, 0.0738428, -6.22748e-05, 0.00111873, 1.31761e-05
0.402406, 0.298064, 0.173173, 0.0887538, 0.00010054, 0.000569166, -2.75341e-05
0.400371, 0.301472, 0.169476, 0.10084, -1.95151e-05, 0.00163364, 2.11715e-05
0.398848, 0.303856, 0.166375, 0.113844, 7.67635e-05, 0.000510375, -1.73092e-05
0.398007, 0.308109, 0.164735, 0.126641, -1.93605e-05, 0.0012539, -1.00061e-06
0.396559, 0.30928, 0.161612, 0.134974, 3.41263e-05, 0.000882648, 3.95992e-05
0.394163, 0.312201, 0.158152, 0.148324, -1.69115e-05, 0.000678102, -9.14315e-06
