target_x, target_y, target_z
0.6, 0.184712, 0.383049
0.6, 0.186483, 0.382701
0.6, 0.18825, 0.38235
0.6, 0.190013, 0.381995
0.6, 0.19177, 0.381637
0.6, 0.193523, 0.381276
0.6, 0.195271, 0.380912
0.6, 0.197014, 0.380544
0.6, 0.198752, 0.380173
0.6, 0.200485, 0.379799
0.6, 0.202213, 0.379421
0.6, 0.203936, 0.37904
0.6, 0.205654, 0.378656
0.6, 0.207367, 0.378269
0.6, 0.209075, 0.377879
0.6, 0.210777, 0.377485
0.6, 0.212474, 0.377088
0.6, 0.214166, 0.376688
0.6, 0.215853, 0.376285
0.6, 0.217534, 0.375879
0.6, 0.21921, 0.375469
0.6, 0.22088, 0.375057
0.6, 0.222544, 0.374641
0.6, 0.224204, 0.374222
0.6, 0.225857, 0.3738
0.6, 0.227505, 0.373375
0.6, 0.229147, 0.372947
0.6, 0.230783, 0.372516
0.6, 0.232414, 0.372082
0.6, 0.234039, 0.371644
0.6, 0.235658, 0.371204
0.6, 0.237271, 0.370761
0.6, 0.238878, 0.370314
0.6, 0.240479, 0.369865
0.6, 0.242075, 0.369413
0.6, 0.243664, 0.368957
0.6, 0.245247, 0.368499
0.6, 0.246824, 0.368038
0.6, 0.248394, 0.367573
0.6, 0.249959, 0.367106
0.6, 0.251517, 0.366636
0.6, 0.253069, 0.366163
0.6, 0.254615, 0.365687
0.6, 0.256154, 0.365208
0.6, 0.257687, 0.364726
0.6, 0.259214, 0.364242
0.6, 0.260734, 0.363754
0.6, 0.262247, 0.363264
0.6, 0.263754, 0.362771
0.6, 0.265254, 0.362275
0.6, 0.266748, 0.361776
0.6, 0.268235, 0.361275
0.6, 0.269715, 0.36077
0.6, 0.271189, 0.360263
0.6, 0.272656, 0.359753
0.6, 0.274115, 0.359241
0.6, 0.275569, 0.358725
0.6, 0.277015, 0.358207
0.6, 0.278454, 0.357687
0.6, 0.279886, 0.357163
0.6, 0.281312, 0.356637
0.6, 0.28273, 0.356108
0.6, 0.284141, 0.355577
0.6, 0.285545, 0.355043
0.6, 0.286942, 0.354506
0.6, 0.288332, 0.353967
0.6, 0.289715, 0.353425
0.6, 0.29109, 0.35288
0.6, 0.292458, 0.352333
0.6, 0.293819, 0.351784
0.6, 0.295173, 0.351231
0.6, 0.296519, 0.350677
0.6, 0.297857, 0.350119
0.6, 0.299188, 0.34956
0.6, 0.300512, 0.348997
0.6, 0.301828, 0.348433
0.6, 0.303137, 0.347866
0.6, 0.304438, 0.347296
0.6, 0.305732, 0.346724
0.6, 0.307017, 0.34615
0.6, 0.308296, 0.345573
0.6, 0.309566, 0.344993
0.6, 0.310829, 0.344412
0.6, 0.312084, 0.343828
0.6, 0.313331, 0.343241
0.6, 0.31457, 0.342653
0.6, 0.315801, 0.342062
0.6, 0.317025, 0.341469
0.6, 0.318241, 0.340873
0.6, 0.319448, 0.340275
0.6, 0.320648, 0.339675
0.6, 0.32184, 0.339073
0.6, 0.323023, 0.338468
0.6, 0.324199, 0.337861
0.6, 0.325366, 0.337252
0.6, 0.326525, 0.336641
0.6, 0.327677, 0.336028
0.6, 0.32882, 0.335413
0.6, 0.329954, 0.334795
0.6, 0.331081, 0.334175
0.6, 0.332199, 0.333553
0.6, 0.333309, 0.332929
0.6, 0.33441, 0.332303
0.6, 0.335504, 0.331675
0.6, 0.336588, 0.331045
0.6, 0.337665, 0.330413
0.6, 0.338733, 0.329779
0.6, 0.339792, 0.329143
0.6, 0.340843, 0.328505
0.6, 0.341886, 0.327865
0.6, 0.34292, 0.327223
0.6, 0.343945, 0.326579
0.6, 0.344962, 0.325933
0.6, 0.34597, 0.325285
0.6, 0.346969, 0.324636
0.6, 0.34796, 0.323984
0.6, 0.348942, 0.323331
0.6, 0.349916, 0.322676
0.6, 0.35088, 0.322019
0.6, 0.351836, 0.32136
0.6, 0.352783, 0.320699
0.6, 0.353721, 0.320037
0.6, 0.354651, 0.319373
0.6, 0.355571, 0.318707
0.6, 0.356483, 0.318039
0.6, 0.357386, 0.31737
0.6, 0.358279, 0.316699
0.6, 0.359164, 0.316027
0.6, 0.36004, 0.315352
0.6, 0.360907, 0.314676
0.6, 0.361765, 0.313999
0.6, 0.362614, 0.31332
0.6, 0.363453, 0.312639
0.6, 0.364284, 0.311957
0.6, 0.365106, 0.311273
0.6, 0.365918, 0.310588
0.6, 0.366721, 0.309901
0.6, 0.367515, 0.309213
0.6, 0.3683, 0.308523
0.6, 0.369076, 0.307831
0.6, 0.369842, 0.307139
0.6, 0.3706, 0.306445
0.6, 0.371348, 0.305749
0.6, 0.372086, 0.305052
0.6, 0.372816, 0.304354
0.6, 0.373536, 0.303654
0.6, 0.374246, 0.302953
0.6, 0.374948, 0.302251
0.6, 0.37564, 0.301547
0.6, 0.376322, 0.300842
0.6, 0.376996, 0.300136
0.6, 0.377659, 0.299428
0.6, 0.378314, 0.298719
0.6, 0.378958, 0.298009
