ee_x, ee_y, ee_z,time_us
0.588336, 0.268042, 0.364787,1645479804658650
0.58805, 0.269619, 0.364216,1645479804663650
0.587775, 0.271164, 0.363636,1645479804668651
0.587508, 0.272703, 0.363056,1645479804673650
0.587238, 0.274262, 0.362488,1645479804678650
0.586981, 0.27581, 0.36192,1645479804683650
0.58674, 0.277333, 0.36136,1645479804688650
0.58651, 0.278857, 0.360811,1645479804693650
0.586279, 0.280382, 0.360266,1645479804698650
0.58606, 0.281887, 0.359712,1645479804703650
0.585853, 0.283392, 0.359172,1645479804708649
0.585653, 0.284899, 0.35864,1645479804713648
0.585452, 0.286383, 0.358092,1645479804718648
0.585262, 0.287849, 0.357541,1645479804723648
0.585071, 0.289324, 0.35699,1645479804728648
0.584889, 0.290803, 0.356453,1645479804733648
0.584726, 0.292268, 0.35593,1645479804738648
0.584565, 0.293709, 0.355397,1645479804743648
0.584402, 0.29515, 0.354862,1645479804748647
0.584238, 0.296596, 0.354331,1645479804753648
0.584087, 0.298026, 0.353798,1645479804758648
0.583942, 0.299445, 0.353272,1645479804763648
0.583802, 0.300862, 0.352744,1645479804768647
0.583663, 0.302271, 0.352219,1645479804773647
0.583533, 0.30367, 0.351698,1645479804778647
0.583405, 0.305057, 0.35117,1645479804783647
0.583263, 0.306441, 0.350624,1645479804788647
0.583135, 0.307822, 0.350088,1645479804793647
0.583022, 0.309191, 0.349573,1645479804798647
0.582908, 0.31055, 0.349048,1645479804803647
0.582786, 0.311903, 0.348511,1645479804808647
0.582665, 0.313246, 0.347961,1645479804813647
0.58255, 0.31459, 0.347424,1645479804818647
0.58244, 0.315931, 0.346888,1645479804823647
0.582331, 0.31725, 0.346344,1645479804828647
0.582234, 0.318558, 0.345803,1645479804833646
0.582137, 0.319867, 0.345261,1645479804838647
0.582025, 0.321172, 0.344699,1645479804843647
0.581918, 0.322461, 0.344132,1645479804848647
0.581836, 0.323738, 0.343593,1645479804853647
0.581762, 0.325011, 0.34307,1645479804858647
0.581672, 0.326284, 0.342517,1645479804863647
0.581573, 0.327536, 0.341942,1645479804868646
0.58149, 0.328787, 0.341383,1645479804873646
0.581409, 0.330032, 0.340827,1645479804878646
0.581328, 0.331262, 0.340266,1645479804883646
0.581262, 0.332479, 0.339709,1645479804888645
0.581193, 0.333689, 0.339153,1645479804893645
0.581119, 0.334899, 0.338583,1645479804898646
0.581036, 0.336093, 0.337996,1645479804903646
0.580977, 0.337273, 0.337432,1645479804908646
0.580926, 0.338445, 0.33688,1645479804913645
0.580858, 0.339614, 0.336297,1645479804918645
0.580783, 0.340776, 0.335701,1645479804923645
0.580721, 0.341925, 0.33511,1645479804928645
0.580655, 0.343073, 0.334517,1645479804933645
0.580588, 0.344218, 0.333923,1645479804938645
0.580527, 0.345354, 0.33333,1645479804943645
0.58047, 0.346482, 0.33274,1645479804948645
0.580407, 0.347605, 0.332142,1645479804953644
0.580333, 0.348723, 0.331527,1645479804958645
0.580267, 0.349842, 0.330927,1645479804963645
0.580215, 0.350957, 0.330346,1645479804968645
0.58015, 0.352063, 0.329745,1645479804973644
0.580083, 0.353162, 0.329134,1645479804978644
0.58001, 0.354253, 0.32851,1645479804983644
0.579942, 0.355338, 0.327897,1645479804988643
0.579878, 0.356425, 0.327288,1645479804993643
0.579808, 0.357504, 0.326677,1645479804998644
0.579746, 0.358575, 0.326067,1645479805003643
0.579683, 0.359638, 0.325461,1645479805008643
0.579615, 0.360693, 0.324842,1645479805013642
0.579542, 0.361741, 0.324215,1645479805018643
0.579474, 0.362793, 0.323598,1645479805023643
0.579405, 0.363837, 0.32298,1645479805028643
0.579337, 0.364868, 0.32235,1645479805033643
0.579257, 0.365888, 0.321704,1645479805038643
0.579185, 0.366906, 0.321061,1645479805043642
0.579112, 0.367919, 0.320417,1645479805048642
0.579041, 0.36892, 0.319773,1645479805053642
0.578983, 0.369911, 0.31914,1645479805058642
0.578918, 0.370904, 0.318512,1645479805063642
0.578849, 0.371893, 0.317875,1645479805068642
0.578772, 0.37286, 0.31721,1645479805073642
0.5787, 0.373824, 0.31655,1645479805078642
0.578652, 0.374787, 0.315927,1645479805083642
0.578596, 0.375735, 0.315281,1645479805088642
0.57852, 0.376675, 0.314613,1645479805093642
0.57845, 0.37761, 0.313946,1645479805098642
0.578385, 0.37854, 0.313288,1645479805103642
0.578329, 0.379457, 0.312635,1645479805108642
0.578274, 0.380359, 0.311979,1645479805113642
0.57822, 0.381264, 0.311331,1645479805118643
0.578174, 0.382157, 0.31069,1645479805123642
0.578115, 0.38304, 0.310022,1645479805128642
0.578053, 0.383904, 0.309343,1645479805133642
0.577997, 0.384777, 0.308678,1645479805138642
0.577949, 0.38564, 0.308019,1645479805143642
0.577897, 0.386483, 0.307341,1645479805148642
0.577846, 0.387313, 0.306653,1645479805153642
0.577792, 0.388134, 0.305967,1645479805158642
0.577749, 0.388951, 0.305286,1645479805163642
0.577704, 0.389757, 0.304612,1645479805168641
0.577662, 0.390564, 0.30394,1645479805173641
0.57762, 0.391361, 0.303265,1645479805178641
0.577579, 0.392146, 0.302584,1645479805183641
0.577545, 0.392916, 0.301905,1645479805188641
0.577506, 0.393679, 0.301212,1645479805193640
0.57746, 0.394422, 0.300505,1645479805198641
0.577432, 0.395167, 0.299819,1645479805203641
0.57741, 0.395908, 0.299144,1645479805208641
0.577384, 0.396626, 0.298451,1645479805213641
0.577355, 0.397336, 0.297753,1645479805218641
0.577336, 0.398031, 0.297062,1645479805223641
0.57731, 0.398738, 0.296377,1645479805228641
0.577294, 0.399418, 0.295688,1645479805233641
0.577271, 0.400094, 0.29499,1645479805238642
0.577281, 0.400733, 0.294299,1645479805243641
0.577307, 0.401345, 0.293603,1645479805248641
0.57732, 0.401952, 0.292893,1645479805253641
0.577345, 0.402528, 0.292177,1645479805258641
0.577371, 0.403085, 0.291445,1645479805263642
0.57743, 0.403603, 0.290726,1645479805268642
0.577503, 0.40412, 0.290026,1645479805273642
0.577563, 0.404628, 0.289311,1645479805278641
0.577639, 0.405102, 0.28859,1645479805283641
0.577721, 0.405562, 0.287867,1645479805288641
0.577813, 0.405992, 0.287134,1645479805293641
0.577903, 0.406429, 0.28641,1645479805298642
0.578, 0.406852, 0.285689,1645479805303641
0.578116, 0.407231, 0.284955,1645479805308641
0.578222, 0.407622, 0.284221,1645479805313641
0.578342, 0.407997, 0.283494,1645479805318641
0.578471, 0.408348, 0.282764,1645479805323642
0.578598, 0.408684, 0.282025,1645479805328642
0.578743, 0.408993, 0.281285,1645479805333642
0.578869, 0.409317, 0.280546,1645479805338642
0.579004, 0.409644, 0.279819,1645479805343642
0.57916, 0.409936, 0.279099,1645479805348641
0.579303, 0.410221, 0.278358,1645479805353642
0.579448, 0.410507, 0.277623,1645479805358642
0.579595, 0.410771, 0.276881,1645479805363642
0.579731, 0.411033, 0.276127,1645479805368641
0.579875, 0.411284, 0.27538,1645479805373641
0.580034, 0.411518, 0.274639,1645479805378641
0.580179, 0.411761, 0.273895,1645479805383641
0.580324, 0.411995, 0.273153,1645479805388642
0.580488, 0.412201, 0.272415,1645479805393642
0.580642, 0.412421, 0.271686,1645479805398642
0.580795, 0.412641, 0.270966,1645479805403641
0.580956, 0.412828, 0.270232,1645479805408641
0.581098, 0.413024, 0.269487,1645479805413641
0.581244, 0.413208, 0.268737,1645479805418641
0.581416, 0.413368, 0.268007,1645479805423641
0.581569, 0.413539, 0.26727,1645479805428641
0.581722, 0.4137, 0.266531,1645479805433640
0.581887, 0.413829, 0.265777,1645479805438641
0.582036, 0.413972, 0.265031,1645479805443641
0.582177, 0.414121, 0.264281,1645479805448641
